Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Adilabad,Telangana,1219982,1221553,-1571,90652.0
Agra,Uttar Pradesh,1119183,1120864,-1681,271294.0
Ahmedabad East,Gujarat,1114791,1115317,-526,461755.0
Ahmedabad West,Gujarat,957571,957573,-2,286437.0
Ahmednagar,Maharashtra,1320318,1320168,150,28929.0
AJMER,Rajasthan,1190576,1190561,15,329991.0
Akbarpur,Uttar Pradesh,1079818,1079978,-160,44345.0
Akola,Maharashtra,1167768,1168366,-598,40626.0
Alappuzha,Kerala,1042798,1050726,-7928,63513.0
Alathur,Kerala,981566,981945,-379,20111.0
Aligarh,Uttar Pradesh,1131155,1137051,-5896,15647.0
Alipurduars,West Bengal,1414597,1414258,339,75447.0
Allahabad,Uttar Pradesh,945146,946076,-930,58795.0
Almora,Uttarakhand,652412,652726,-314,234097.0
ALWAR,Rajasthan,1237473,1237446,27,48282.0
Amalapuram (Sc),Andhra Pradesh,1284957,1284018,939,342196.0
AMBALA,Haryana,1344533,1344503,30,49036.0
Ambedkar Nagar,Uttar Pradesh,1174672,1176920,-2248,137247.0
Amethi,Uttar Pradesh,976679,976053,626,167196.0
Amravati,Maharashtra,1169205,1169121,84,19731.0
Amreli,Gujarat,871373,871373,0,321068.0
Amritsar,Punjab,903326,903206,120,40301.0
Amroha,Uttar Pradesh,1108635,1108579,56,28670.0
Anakapalle,Andhra Pradesh,1306348,1309977,-3629,296530.0
Anand,Gujarat,1156426,1157763,-1337,89939.0
Anandpur Sahib,Punjab,1073709,1073572,137,10846.0
Ananthapur,Andhra Pradesh,1420357,1423108,-2751,188555.0
ANANTNAG-RAJOURI,Jammu & Kashmir,1017520,1017451,69,281794.0
Andaman & NicobarIslands,Andaman & NicobarIslands,201992,202018,-26,24396.0
Aonla,Uttar Pradesh,1086120,1086687,-567,15969.0
ARAKKONAM,Tamil Nadu,1156724,1159441,-2717,306559.0
Araku (ST),Andhra Pradesh,1143013,1145426,-2413,50580.0
Arambagh,West Bengal,1554300,1555882,-1582,6399.0
ARANI,Tamil Nadu,1132317,1133520,-1203,208766.0
Araria,Bihar,1250207,1250261,-54,20094.0
Arrah,Bihar,1088409,1088685,-276,59808.0
Arunachal East,Arunachal Pradesh,310213,312658,-2445,30421.0
Arunachal West,Arunachal Pradesh,379611,380783,-1172,100738.0
Asansol,West Bengal,1296332,1297096,-764,59564.0
Aska,Odisha,1016047,1015883,164,99974.0
Attingal,Kerala,970517,970517,0,684.0
Aurangabad,Maharashtra,1297724,1298227,-503,79111.0
Aurangabad,Bihar,942301,942382,-81,79111.0
Azamgarh,Uttar Pradesh,1048948,1049205,-257,161035.0
