Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
1,"Andaman & Nicobar
Islands","Andaman & Nicobar
Islands",315148.0,64.1,202018.0
1,Arunachal Pradesh,Arunachal East,375310.0,83.31,312658.0
1,Arunachal Pradesh,Arunachal West,517384.0,73.6,380783.0
1,Assam,Dibrugarh,1659588.0,76.75,1273744.0
1,Assam,Jorhat,1727121.0,79.89,1379749.0
1,Assam,Kaziranga,2050126.0,79.33,1626408.0
1,Assam,Lakhimpur,1577234.0,76.42,1205331.0
1,Assam,Sonitpur,1633800.0,78.46,1281959.0
1,Bihar,Aurangabad,1871564.0,50.35,942382.0
1,Bihar,Gaya,1816815.0,52.76,958623.0
1,Bihar,Jamui,1907126.0,51.25,977369.0
1,Bihar,Nawada,2006124.0,43.17,866102.0
1,Chhattisgarh,BASTAR,1472207.0,68.29,1005392.0
1,Jammu and Kashmir,UDHAMPUR,1623195.0,68.27,1108206.0
1,Lakshadweep,Lakshadweep,57784.0,84.16,48630.0
1,Madhya Pradesh,BALAGHAT,1873653.0,73.45,1376207.0
1,Madhya Pradesh,CHHINDWARA,1632190.0,79.83,1303001.0
1,Madhya Pradesh,JABALPUR,1896346.0,61.0,1156722.0
1,Madhya Pradesh,MANDLA,2101811.0,72.84,1530861.0
1,Madhya Pradesh,SHAHDOL,1777185.0,64.68,1149506.0
1,Madhya Pradesh,SIDHI,2028451.0,56.5,1146150.0
1,Maharashtra,Bhandara Gondiya,1827188.0,67.04,1224928.0
1,Maharashtra,Chandrapur,1837906.0,67.55,1241574.0
1,Maharashtra,Gadchiroli - Chimur,1617207.0,71.88,1162476.0
1,Maharashtra,Nagpur,2223281.0,54.32,1207738.0
1,Maharashtra,Ramtek,2049085.0,61.01,1250190.0
1,Manipur,Inner Manipur,991574.0,80.15,794790.0
1,Manipur,Outer Manipur,553078.0,68.83,380688.0
1,Meghalaya,Shillong,1400411.0,73.78,1033251.0
1,Meghalaya,Tura,826156.0,81.37,672284.0
1,Mizoram,MIZORAM,856364.0,56.87,487013.0
1,Nagaland,Nagaland,1317536.0,57.72,760507.0
1,Puducherry,PUDUCHERRY,1023699.0,78.9,807724.0
1,Rajasthan,ALWAR,2059888.0,60.07,1237446.0
1,Rajasthan,BHARATPUR,2114916.0,52.8,1116742.0
1,Rajasthan,BIKANER,2048399.0,54.11,1108418.0
1,Rajasthan,CHURU,2213187.0,63.61,1407716.0
1,Rajasthan,DAUSA,1899304.0,55.72,1058386.0
1,Rajasthan,GANGANAGAR,2102002.0,66.59,1399688.0
1,Rajasthan,JAIPUR,2287350.0,63.38,1449612.0
1,Rajasthan,JAIPUR RURAL,2184978.0,56.7,1238818.0
1,Rajasthan,JHUNJHUNU,2068540.0,52.93,1094900.0
1,Rajasthan,KARAULI-DHOLPUR,1975352.0,49.59,979618.0
1,Rajasthan,NAGAUR,2146725.0,57.23,1228494.0
1,Rajasthan,SIKAR,2214900.0,57.53,1274270.0
1,Sikkim,Sikkim,464140.0,79.88,370765.0
1,Tamil Nadu,ARAKKONAM,1562871.0,74.19,1159441.0
1,Tamil Nadu,ARANI,1496118.0,75.76,1133520.0
1,Tamil Nadu,CHENNAI CENTRAL,1350161.0,53.96,728614.0
1,Tamil Nadu,CHENNAI NORTH,1496224.0,60.11,899367.0
1,Tamil Nadu,CHENNAI SOUTH,2023133.0,54.17,1096026.0
1,Tamil Nadu,CHIDAMBARAM,1519847.0,76.37,1160762.0
1,Tamil Nadu,COIMBATORE,2106124.0,64.89,1366597.0
1,Tamil Nadu,CUDDALORE,1412746.0,72.57,1025298.0
1,Tamil Nadu,DHARMAPURI,1524896.0,81.2,1238184.0
1,Tamil Nadu,DINDIGUL,1607051.0,71.14,1143196.0
1,Tamil Nadu,ERODE,1538778.0,70.59,1086287.0
1,Tamil Nadu,KALLAKURICHI,1568681.0,79.21,1242597.0
1,Tamil Nadu,KANCHEEPURAM,1748866.0,71.68,1253582.0
1,Tamil Nadu,KANNIYAKUMARI,1557915.0,65.44,1019532.0
1,Tamil Nadu,KARUR,1429790.0,78.7,1125241.0
1,Tamil Nadu,KRISHNAGIRI,1623179.0,71.5,1160498.0
1,Tamil Nadu,MADURAI,1582271.0,62.04,981650.0
1,Tamil Nadu,MAYILADUTHURAI,1545568.0,70.09,1083243.0
1,Tamil Nadu,NAGAPATTINAM,1345120.0,71.94,967694.0
1,Tamil Nadu,NAMAKKAL,1452562.0,78.21,1136069.0
1,Tamil Nadu,NILGIRIS,1428387.0,70.95,1013410.0
1,Tamil Nadu,PERAMBALUR,1446352.0,77.43,1119881.0
1,Tamil Nadu,POLLACHI,1597467.0,70.41,1124743.0
1,Tamil Nadu,RAMANATHAPURAM,1617688.0,68.19,1103036.0
1,Tamil Nadu,SALEM,1658681.0,78.16,1296481.0
1,Tamil Nadu,SIVAGANGA,1633857.0,64.26,1049887.0
1,Tamil Nadu,SRIPERUMBUDUR,2382119.0,60.25,1435243.0
1,Tamil Nadu,TENKASI,1525439.0,67.65,1031961.0
1,Tamil Nadu,THANJAVUR,1501226.0,68.27,1024949.0
1,Tamil Nadu,THENI,1622949.0,69.84,1133513.0
1,Tamil Nadu,THOOTHUKKUDI,1458430.0,66.88,975468.0
1,Tamil Nadu,TIRUCHIRAPPALLI,1553985.0,67.51,1049093.0
1,Tamil Nadu,TIRUNELVELI,1654503.0,64.1,1060461.0
1,Tamil Nadu,TIRUPPUR,1608521.0,70.62,1135998.0
1,Tamil Nadu,TIRUVALLUR,2085991.0,68.59,1430738.0
1,Tamil Nadu,TIRUVANNAMALAI,1533099.0,74.24,1138102.0
1,Tamil Nadu,VELLORE,1528273.0,73.53,1123715.0
1,Tamil Nadu,VILUPPURAM,1503115.0,76.52,1150164.0
1,Tamil Nadu,VIRUDHUNAGAR,1501942.0,70.22,1054634.0
1,Tripura,Tripura West,1463526.0,81.48,1192435.0
1,Uttar Pradesh,Bijnor,1738307.0,58.73,1020947.0
1,Uttar Pradesh,Kairana,1722432.0,62.46,1075839.0
1,Uttar Pradesh,Moradabad,2059578.0,62.18,1280706.0
1,Uttar Pradesh,Muzaffarnagar,1817472.0,59.13,1074608.0
1,Uttar Pradesh,Nagina,1644909.0,60.75,999203.0
1,Uttar Pradesh,Pilibhit,1831699.0,63.11,1155917.0
1,Uttar Pradesh,Rampur,1731836.0,55.85,967200.0
1,Uttar Pradesh,Saharanpur,1855310.0,66.14,1227083.0
1,Uttarakhand,Almora,1339327.0,48.74,652726.0
1,Uttarakhand,Garhwal,1369388.0,52.42,717834.0
1,Uttarakhand,Haridwar,2035726.0,63.53,1293362.0
1,Uttarakhand,"Nainital-Udhamsingh
Nagar",2015809.0,62.47,1259180.0
1,Uttarakhand,Tehri Garhwal,1577664.0,53.76,848186.0
1,West Bengal,Alipurduars,1773252.0,79.76,1414258.0
1,West Bengal,Coochbehar,1966893.0,82.16,1616079.0
1,West Bengal,Jalpaiguri,1885963.0,83.66,1577828.0
1,,,,,
2,Assam,Darrang-Udalguri,2209314.0,82.01,1811764.0
2,Assam,Diphu,901032.0,75.74,682441.0
2,Assam,Karimganj,1412148.0,80.48,1136538.0
